A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
gpu count: 1
Total number of parameters:  1640198
Episode 234, Reward: -21.0, Mean Loss: 5.4273746700187, Number of Steps: 764
Episode 235, Reward: -21.0, Mean Loss: 5.498282871945366, Number of Steps: 764
Episode 236, Reward: -21.0, Mean Loss: 5.439652652640618, Number of Steps: 764
Episode 237, Reward: -21.0, Mean Loss: 5.446981430053711, Number of Steps: 764
Episode 238, Reward: -21.0, Mean Loss: 5.420045892605607, Number of Steps: 764
Episode 239, Reward: -21.0, Mean Loss: 5.449361002257981, Number of Steps: 764
Episode 240, Reward: -21.0, Mean Loss: 5.451930635262534, Number of Steps: 764
Episode 241, Reward: -21.0, Mean Loss: 5.420045892605607, Number of Steps: 764
Episode 242, Reward: -21.0, Mean Loss: 5.481245744914909, Number of Steps: 764
Episode 243, Reward: -21.0, Mean Loss: 5.383402005540138, Number of Steps: 764
Episode 244, Reward: -21.0, Mean Loss: 5.398059560366326, Number of Steps: 764
Episode 245, Reward: -21.0, Mean Loss: 5.42499509781443, Number of Steps: 764
Episode 246, Reward: -21.0, Mean Loss: 5.40538833777942, Number of Steps: 764
Episode 247, Reward: -21.0, Mean Loss: 5.439652652640618, Number of Steps: 764
Episode 248, Reward: -21.0, Mean Loss: 5.483625317119179, Number of Steps: 764
Episode 249, Reward: -21.0, Mean Loss: 5.4689677622929915, Number of Steps: 764
Episode 250, Reward: -21.0, Mean Loss: 5.454310207466804, Number of Steps: 764
Episode 251, Reward: -21.0, Mean Loss: 5.432323875227524, Number of Steps: 764
Episode 252, Reward: -21.0, Mean Loss: 5.503232077154189, Number of Steps: 764
Episode 253, Reward: -21.0, Mean Loss: 5.434703447431794, Number of Steps: 764
Episode 254, Reward: -21.0, Mean Loss: 5.444601857849441, Number of Steps: 764
Episode 255, Reward: -21.0, Mean Loss: 5.4689677622929915, Number of Steps: 764
Episode 256, Reward: -21.0, Mean Loss: 5.476296539706086, Number of Steps: 764
Episode 257, Reward: -21.0, Mean Loss: 5.464018557084168, Number of Steps: 764
Episode 258, Reward: -21.0, Mean Loss: 5.42261552561016, Number of Steps: 764
Episode 259, Reward: -21.0, Mean Loss: 5.439652652640618, Number of Steps: 764
Episode 260, Reward: -21.0, Mean Loss: 5.42499509781443, Number of Steps: 764
Episode 261, Reward: -21.0, Mean Loss: 5.464018557084168, Number of Steps: 764
Episode 262, Reward: -21.0, Mean Loss: 5.512940426771554, Number of Steps: 764
Episode 263, Reward: -21.0, Mean Loss: 5.461638984879898, Number of Steps: 764
Episode 264, Reward: -21.0, Mean Loss: 5.491144155332555, Number of Steps: 764
Episode 265, Reward: -21.0, Mean Loss: 5.473916967501815, Number of Steps: 764
Episode 266, Reward: -21.0, Mean Loss: 5.4691578230932745, Number of Steps: 764
