A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
gpu count: 1
Total number of parameters:  533
Episode 268, Reward: 0.0, Mean Loss: 7.485661678626889, Number of Steps: 122
Episode 269, Reward: 0.0, Mean Loss: 7.520906823580383, Number of Steps: 122
Episode 270, Reward: 0.0, Mean Loss: 7.514333885224139, Number of Steps: 122
Episode 271, Reward: 0.0, Mean Loss: 7.471270037479088, Number of Steps: 122
Episode 272, Reward: 0.0, Mean Loss: 7.501286803698931, Number of Steps: 122
Episode 273, Reward: 0.0, Mean Loss: 7.513577859909808, Number of Steps: 122
Episode 274, Reward: 0.0, Mean Loss: 7.480608346032315, Number of Steps: 122
Episode 275, Reward: 0.0, Mean Loss: 7.504958297385544, Number of Steps: 122
Episode 276, Reward: 0.0, Mean Loss: 7.516621351242065, Number of Steps: 122
Episode 277, Reward: 0.0, Mean Loss: 7.485005652318235, Number of Steps: 122
Episode 278, Reward: 0.0, Mean Loss: 7.471693488418079, Number of Steps: 122
Episode 279, Reward: 0.0, Mean Loss: 7.515417399953623, Number of Steps: 122
Episode 280, Reward: 0.0, Mean Loss: 7.5219178825128274, Number of Steps: 122
Episode 281, Reward: 0.0, Mean Loss: 7.500718714760953, Number of Steps: 122
Episode 282, Reward: 0.0, Mean Loss: 7.502648162060097, Number of Steps: 122
Episode 283, Reward: 0.0, Mean Loss: 7.487312629574635, Number of Steps: 122
Episode 284, Reward: 0.0, Mean Loss: 7.487831565200305, Number of Steps: 122
Episode 285, Reward: 0.0, Mean Loss: 7.489032338877193, Number of Steps: 122
Episode 286, Reward: 0.0, Mean Loss: 7.515007960991781, Number of Steps: 122
Episode 287, Reward: 0.0, Mean Loss: 7.500390381109519, Number of Steps: 122
Episode 288, Reward: 0.0, Mean Loss: 7.4978685027263205, Number of Steps: 122
Episode 289, Reward: 0.0, Mean Loss: 7.517207470096525, Number of Steps: 122
Episode 290, Reward: 0.0, Mean Loss: 7.515871497451282, Number of Steps: 122
Episode 291, Reward: 0.0, Mean Loss: 7.5030130558326595, Number of Steps: 122
Episode 292, Reward: 0.0, Mean Loss: 7.514968786083284, Number of Steps: 122
Episode 293, Reward: 0.0, Mean Loss: 7.5088483661901755, Number of Steps: 122
Episode 294, Reward: 0.0, Mean Loss: 7.502250210183566, Number of Steps: 122
Episode 295, Reward: 0.0, Mean Loss: 7.501718849432273, Number of Steps: 122
Episode 296, Reward: 0.0, Mean Loss: 7.513791017845029, Number of Steps: 122
Episode 297, Reward: 0.0, Mean Loss: 7.500306309246626, Number of Steps: 122
Episode 298, Reward: 0.0, Mean Loss: 7.512547043503308, Number of Steps: 122
Episode 299, Reward: 0.0, Mean Loss: 7.516914219152732, Number of Steps: 122
Episode 300, Reward: 0.0, Mean Loss: 7.49773648527802, Number of Steps: 122
Episode 301, Reward: 0.0, Mean Loss: 7.50147382548598, Number of Steps: 122
Episode 302, Reward: 0.0, Mean Loss: 7.504461929446361, Number of Steps: 122
Episode 303, Reward: 0.0, Mean Loss: 7.514977146367558, Number of Steps: 122
Episode 304, Reward: 0.0, Mean Loss: 7.504822426154965, Number of Steps: 122
Episode 305, Reward: 0.0, Mean Loss: 7.502420781088657, Number of Steps: 122
Episode 306, Reward: 0.0, Mean Loss: 7.49248975222228, Number of Steps: 122
Episode 307, Reward: 0.0, Mean Loss: 7.482610682972142, Number of Steps: 122
Episode 308, Reward: 0.0, Mean Loss: 7.519980583034578, Number of Steps: 122
Episode 309, Reward: 0.0, Mean Loss: 7.490215692363802, Number of Steps: 122
Episode 310, Reward: 0.0, Mean Loss: 7.483234366432566, Number of Steps: 122
Episode 311, Reward: 0.0, Mean Loss: 7.4902481798265805, Number of Steps: 122
Episode 312, Reward: 0.0, Mean Loss: 7.485436994521344, Number of Steps: 122
Episode 313, Reward: 0.0, Mean Loss: 7.514350746498733, Number of Steps: 122
Episode 314, Reward: 0.0, Mean Loss: 7.517928655030297, Number of Steps: 122
Episode 315, Reward: 0.0, Mean Loss: 7.515787191078311, Number of Steps: 122
Episode 316, Reward: 0.0, Mean Loss: 7.502003767451302, Number of Steps: 122
Episode 317, Reward: 0.0, Mean Loss: 7.520368587775309, Number of Steps: 122
Episode 318, Reward: 0.0, Mean Loss: 7.498737268760556, Number of Steps: 122
Episode 319, Reward: 0.0, Mean Loss: 7.48559745022508, Number of Steps: 122
Episode 320, Reward: 0.0, Mean Loss: 7.517821929493889, Number of Steps: 122
Episode 321, Reward: 0.0, Mean Loss: 7.504388590328029, Number of Steps: 122
Episode 322, Reward: 0.0, Mean Loss: 7.520592697331162, Number of Steps: 122
Episode 323, Reward: 0.0, Mean Loss: 7.517305335060495, Number of Steps: 122
Episode 324, Reward: 0.0, Mean Loss: 7.501159796949293, Number of Steps: 122
Episode 325, Reward: 0.0, Mean Loss: 7.491676955926613, Number of Steps: 122
Episode 326, Reward: 0.0, Mean Loss: 7.516040704289421, Number of Steps: 122
Episode 327, Reward: 0.0, Mean Loss: 7.50140613024352, Number of Steps: 122
Episode 328, Reward: 0.0, Mean Loss: 7.503173038607738, Number of Steps: 122
Episode 329, Reward: 0.0, Mean Loss: 7.516063834800095, Number of Steps: 122
Episode 330, Reward: 0.0, Mean Loss: 7.495363360545674, Number of Steps: 122
Episode 331, Reward: 0.0, Mean Loss: 7.500887184608273, Number of Steps: 123
Episode 332, Reward: 0.0, Mean Loss: 7.501050714586602, Number of Steps: 122
